Name,RA (2000) ,DEC (2000) ,Object Type ,RA (deg),Dec (deg)
Ara ,17:40:34.21,-53:41:15.80,cv ,,
Ara ,17:40:38.86,-53:39:51.50,non-cv ,,
Ara ,17:40:40.93,-53:40:25.20,cv ,,
Ara ,17:40:41.43,-53:40:17.50,cv ,,
Ara ,17:40:41.67,-53:40:19.50,ug/dq ,,
Ara ,17:40:41.88,-53:40:26.30,cv ,,
Ara ,17:40:42.15,-53:40:26.70,ug/dq ,,
Ara ,17:40:42.21,-53:40:28.70,ug/cv ,,
Ara ,17:40:42.24,-53:40:30.90,cv ,,
Ara ,17:40:42.48,-53:40:17.40,ug/dq ,,
Ara ,17:40:42.56,-53:40:25.70,cv ,,
Ara ,17:40:42.98,-53:40:12.60,cv ,,
Ara ,17:40:44.05,-53:40:39.60,cv ,,
Ara ,17:40:45.74,-53:40:42.00,cv ,,
Ara ,17:40:47.82,-53:41:27.70,cv ,,
Ara ,17:40:48.95,-53:39:48.90,cv ,,
Ara ,17:40:52.81,-53:41:21.90,cv ,,
AE Ara ,17:41:04.91,-47:03:27.30,non-cv ,265.2704925,-47.0575525
V1012 Oph ,17:41:34.38,-23:23:33.10,n ,265.39324999999997,-23.392527777777776
V2024 Oph ,42:21.00,-24:59:00,n ,265.5924999999999,-24.984444444444446
V721 Sco ,17:42:29.09,-34:40:41.50,n ,265.6212274999999,-34.67820333333333
V553 Oph ,17:42:53.50,-24:51:26.20,na ,265.7229166666666,-24.857277777777778
V2290 Oph ,17:43:05.50,-20:06:55.00,na ,265.77337499999993,-20.117611111111113
V2110 Oph ,17:43:33.38,-22:45:35.30,nb/z an ,265.8888379166666,-22.760255555555556
V916 Sco ,17:43:54.61,-36:03:27.00,non-cv ,265.9779583333333,-36.057361111111106
KP Sco ,17:44:16.47,-35:43:23.60,na ,266.068625,-35.723222222222226
V1188 Sco ,17:44:21.59,-34:16:35.70,n ,266.08995833333336,-34.276583333333335
V734 Sco ,17:45:02.37,-35:38:07.00,n or m ,266.26023166666664,-35.63483194444444
Sgr ,17:45:08.60,-25:44:01.00,n ,11.074999999999998,42.3
Sgr ,17:45:32.70,-29:05:52.00,am ,11.074999999999998,42.3
V719 Sco ,17:45:43.80,-34:00:54.20,na ,266.43249999999995,-34.015055555555556
Sgr ,17:46:37.38,-22:45:08.60,ug ,11.074999999999998,42.3
Sco ,17:46:47.20,-36:39:51.40,ug ,,
Sco ,17:47:16.32,-35:01:38.80,ug ,,
V4744 Sgr ,17:47:21.63,-23:28:21.40,na ,266.8405833333333,-23.47308333333333
Sgr ,17:47:32.94,-23:27:23.90,ugsu ,11.074999999999998,42.3
Sco ,47:38.00,-33:11:55.00,n ,,
Sco ,17:47:54.19,-35:24:36.60,ug ,,
Sgr ,17:48:03.54,-24:46:49.20,cv ,11.074999999999998,42.3
Sgr ,17:48:04.06,-24:46:40.50,cv ,11.074999999999998,42.3
Sgr ,17:48:04.21,-24:46:41.70,cv ,11.074999999999998,42.3
Sgr ,17:48:04.37,-24:47:03.70,cv ,11.074999999999998,42.3
Sgr ,17:48:04.40,-24:46:38.10,cv ,11.074999999999998,42.3
Sco ,17:48:25.57,-36:47:49.10,ug ,,
V707 Sco ,17:48:26.38,-36:37:54.90,na ,267.10991666666666,-36.63191666666667
V722 Sco ,48:37.00,-34:57:50.00,na ,267.15416666666664,-34.96388888888889
Sco ,17:48:38.54,-37:20:49.80,ug ,,
V3888 Sgr ,17:48:40.55,-18:45:36.80,n ,267.17280458333335,-18.759663888888888
Sgr ,17:48:51.87,-20:21:33.90,cv ,11.074999999999998,42.3
Sgr ,17:48:51.99,-20:21:46.60,cv ,11.074999999999998,42.3
Sgr ,17:48:52.08,-20:21:23.60,cv ,11.074999999999998,42.3
Sgr ,17:48:52.31,-20:21:34.30,cv ,11.074999999999998,42.3
Sgr ,17:48:52.43,-20:21:38.50,cv ,11.074999999999998,42.3
Sgr ,17:48:52.54,-20:21:34.70,cv ,11.074999999999998,42.3
Sgr ,17:48:52.58,-20:21:32.60,cv ,11.074999999999998,42.3
Sgr ,17:48:52.68,-20:21:36.70,cv ,11.074999999999998,42.3
Sgr ,17:48:52.71,-20:21:38.20,cv ,11.074999999999998,42.3
Sgr ,17:48:52.73,-20:21:41.60,cv ,11.074999999999998,42.3
Sgr ,17:48:52.85,-20:21:33.60,cv/lmxb ,11.074999999999998,42.3
Sgr ,17:48:52.87,-20:21:31.30,cv ,11.074999999999998,42.3
Sgr ,17:48:52.89,-20:21:35.50,cv ,11.074999999999998,42.3
Sgr ,17:48:52.90,-20:21:49.90,cv ,11.074999999999998,42.3
Sgr ,17:48:52.94,-20:21:39.60,cv ,11.074999999999998,42.3
Sgr ,17:48:53.12,-20:21:27.00,cv ,11.074999999999998,42.3
Sgr ,17:48:53.21,-20:21:33.40,cv ,11.074999999999998,42.3
Sgr ,17:48:53.23,-20:21:44.00,cv ,11.074999999999998,42.3
Sgr ,17:48:53.32,-20:21:41.70,cv/lmxb ,11.074999999999998,42.3
